Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Finland,FIN,2/10/2020,0,
France,FRA,2/10/2020,0,
Germany,DEU,2/10/2020,0,
High income,,2/10/2020,19,0
Hong Kong,HKG,2/10/2020,9,0
India,IND,2/10/2020,0,
International,,2/10/2020,71,
Italy,ITA,2/10/2020,0,
Japan,JPN,2/10/2020,2,
Lower middle income,,2/10/2020,1,0
Malaysia,MYS,2/10/2020,2,
Nepal,NPL,2/10/2020,0,
North America,,2/10/2020,0,0
Oceania,,2/10/2020,0,0
Philippines,PHL,2/10/2020,0,0
Russia,RUS,2/10/2020,0,
Singapore,SGP,2/10/2020,5,
South Korea,KOR,2/10/2020,2,
Spain,ESP,2/10/2020,0,
Sri Lanka,LKA,2/10/2020,0,
Sweden,SWE,2/10/2020,0,
Taiwan,TWN,2/10/2020,0,
Thailand,THA,2/10/2020,0,
United Arab Emirates,ARE,2/10/2020,1,
United Kingdom,GBR,2/10/2020,0,
United States,USA,2/10/2020,0,
Upper middle income,,2/10/2020,2518,107
Vietnam,VNM,2/10/2020,1,
World,OWID_WRL,2/10/2020,2609,107
World excl. China,,2/10/2020,93,0
World excl. China and South Korea,,2/10/2020,91,0
"World excl. China, South Korea, Japan and Singapore",,2/10/2020,84,0
Asia,,2/11/2020,2038,100
Asia excl. China,,2/11/2020,17,0
Australia,AUS,2/11/2020,0,
Belgium,BEL,2/11/2020,0,
Cambodia,KHM,2/11/2020,0,
Canada,CAN,2/11/2020,0,
China,CHN,2/11/2020,2021,100
Europe,,2/11/2020,3,0
European Union,,2/11/2020,2,0
Finland,FIN,2/11/2020,0,
France,FRA,2/11/2020,0,
Germany,DEU,2/11/2020,2,
High income,,2/11/2020,19,0
Hong Kong,HKG,2/11/2020,11,0
India,IND,2/11/2020,0,
International,,2/11/2020,0,
Italy,ITA,2/11/2020,0,
Japan,JPN,2/11/2020,1,
Lower middle income,,2/11/2020,1,0
Malaysia,MYS,2/11/2020,0,
Nepal,NPL,2/11/2020,0,
North America,,2/11/2020,1,0
Oceania,,2/11/2020,0,0
Philippines,PHL,2/11/2020,0,0
Russia,RUS,2/11/2020,0,
Singapore,SGP,2/11/2020,2,
South Korea,KOR,2/11/2020,1,
Spain,ESP,2/11/2020,0,
Sri Lanka,LKA,2/11/2020,0,
Sweden,SWE,2/11/2020,0,
Taiwan,TWN,2/11/2020,0,
Thailand,THA,2/11/2020,1,
United Arab Emirates,ARE,2/11/2020,0,
United Kingdom,GBR,2/11/2020,1,
United States,USA,2/11/2020,1,
Upper middle income,,2/11/2020,2022,100
Vietnam,VNM,2/11/2020,1,
World,OWID_WRL,2/11/2020,2042,100
World excl. China,,2/11/2020,21,0
World excl. China and South Korea,,2/11/2020,20,0
"World excl. China, South Korea, Japan and Singapore",,2/11/2020,17,0
Asia,,2/12/2020,377,5
Asia excl. China,,2/12/2020,5,0
Australia,AUS,2/12/2020,0,
Belgium,BEL,2/12/2020,0,
Cambodia,KHM,2/12/2020,0,
Canada,CAN,2/12/2020,0,
China,CHN,2/12/2020,372,5
Europe,,2/12/2020,1,0
European Union,,2/12/2020,0,0
Finland,FIN,2/12/2020,0,
France,FRA,2/12/2020,0,
Germany,DEU,2/12/2020,0,
High income,,2/12/2020,6,0
Hong Kong,HKG,2/12/2020,1,0
India,IND,2/12/2020,0,
International,,2/12/2020,40,
Italy,ITA,2/12/2020,0,
Japan,JPN,2/12/2020,1,
Lower middle income,,2/12/2020,0,0
Malaysia,MYS,2/12/2020,0,
